company,location,industry,total_laid_off,percentage_laid_off,date,source,stage,country,funds_raised,date_added
" F-Secure ","Helsinki,Non-U.S.",Security,70,NULL,10/25/2023,https://yle.fi/a/74-20056883,Post-IPO,Finland,NULL,10/26/2023
23andMe,"SF Bay Area",Healthcare,200,40%,11/11/2024,https://www.wsj.com/tech/biotech/23andme-to-cut-workforce-by-40-discontinues-therapeutics-pipeline-8c818729,Post-IPO,"United States",1100,11/12/2024
23andMe,"SF Bay Area",Healthcare,71,11%,8/8/2023,https://www.streetinsider.com/Corporate+News/23andMe+Holding+%28ME%29+Announces+11%25+Workforce+Cut/22014370.html,Post-IPO,"United States",1100,8/8/2023
7shifts,"Saskatoon,Non-U.S.",Food,30,7%,9/15/2023,https://www.linkedin.com/feed/update/urn:li:activity:7108084382132801536/,"Series C",Canada,131,9/21/2023
7Shifts,"Saskatoon,Non-U.S.",Food,68,19%,1/11/2024,https://betakit.com/7shifts-cuts-19-percent-of-staff-in-new-layoffs-to-start-2024/,"Series C",Canada,131,1/18/2024
Aakash,"New Delhi,Non-U.S.",Education,80,NULL,9/18/2024,https://entrackr.com/2024/09/exclusive-aakash-lays-off-employees-amid-strategic-shift/,Acquired,India,NULL,9/21/2024
ABBYY,Nicosia,Data,200,NULL,10/1/2024,https://www.bignewsnetwork.com/news/274659725/us-tech-giant-fires-russian-expats,Unknown,Cyprus,6,10/3/2024
Absci,Portland,Healthcare,30,15%,9/5/2023,https://www.geekwire.com/2023/biotech-company-absci-lays-off-30-employees-about-15-of-staff/,Post-IPO,"United States",238,9/7/2023
ActiveFence,"New York City",Security,22,7%,3/13/2025,https://www.calcalistech.com/ctechnews/article/hjvqbqg3jx,"Series B","United States",100,3/14/2025
Actyv.ai,"Bengaluru,Non-U.S.",Finance,NULL,60%,8/2/2023,https://entrackr.com/2023/08/exclusive-saas-startup-actyv-ai-lays-off-more-than-60-employees/,Seed,India,12,8/3/2023
Acxiom,"Little Rock",Marketing,130,3%,3/19/2025,https://adage.com/article/agency-news/acxiom-lays-35-staff-more-130-employees/2606146,Post-IPO,"United States",NULL,3/21/2025
